Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
Secadora de roupas,eletrodomesticos,1713.5,88.8231591667,17/12/2021,Camila Ribeiro,CE,4,cartao_credito,4,-5.2,-39.53
Cômoda,moveis,386.81,18.1809078858,10/02/2021,Larissa Alves,RS,3,cartao_credito,1,-30.17,-53.5
Violão,instrumentos musicais,404.62,23.1975920919,22/01/2023,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
Bola de vôlei,esporte e lazer,78.4,4.4633409534,22/03/2022,Pedro Gomes,BA,4,cartao_credito,6,-13.29,-41.71
Guarda roupas,moveis,694.76,34.5783189478,12/01/2022,Bianca Santos,SP,1,cartao_credito,1,-22.19,-48.79
Impressora,eletronicos,307.64,13.9653435611,20/11/2022,Mariana Ferreira,MG,5,cartao_credito,5,-18.1,-44.38
Carrinho controle remoto,brinquedos,74.26,4.2372475047,07/07/2020,Bruno Rodrigues,SP,2,boleto,1,-22.19,-48.79
Cadeira de escritório,moveis,619.44,33.5144209995,01/05/2022,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
Pandeiro,instrumentos musicais,58.01,3.6199625076,27/10/2021,Larissa Alves,MG,5,cartao_credito,3,-18.1,-44.38
Faqueiro,utilidades domesticas,44.73,0.0,03/05/2022,Felipe Santos,RJ,5,boleto,1,-22.25,-42.66
Boneca bebê,brinquedos,60.64,0.0,16/08/2021,Beatriz Moraes,PI,5,boleto,1,-6.6,-42.28
Cadeira de escritório,moveis,580.24,28.4804734702,25/09/2022,Felipe Santos,GO,2,cartao_credito,1,-15.98,-49.86
Impressora,eletronicos,310.02,18.1604266869,16/01/2023,Lucas Oliveira,MG,5,cartao_credito,2,-18.1,-44.38
Fone de ouvido,eletronicos,91.63,6.5318161922,31/01/2022,João Souza,RS,4,cartao_credito,1,-30.17,-53.5
Jogo de copos,utilidades domesticas,52.13,3.306870197,08/11/2021,João Souza,CE,5,boleto,1,-5.2,-39.53
